rationale_score,match,clue,answer,prediction,rationale
,False,Şters din datoria personalului de serviciu,pRAF,SCUT,"În expresia ""șters din datoria personalului de serviciu"" sensul central este cel de a fi scutit, adică scos din obligație. În limba română cuvântul ""scut"" este folosit metaforic pentru a indica o scutire, o protecție față de o datorie sau o sarcină. Prin urmare, ""SCUT"" (4 litere) este răspunsul care se potrivește cel mai bine indiciului."
,False,Înlocuire la adăpostul întunericului,IaTAC,UMBRĂ,"În limba română, „umbra” este exact „adăpostul întunericului”, adică zona întunecată creată de un obstacol care blochează lumina. Deşi formularea „Înlocuire la” poate sugera un indiciu criptic, sensul principal al definiţiei este cel de „shelter of darkness”, iar „UMBRĂ” are exact 5 litere, îndeplinind cerinţa de lungime."
,False,Mişcarea de eliberare,SMuCIRE,REVOLTA,"„Mișcarea de eliberare” se referă la un act colectiv prin care oamenii se ridică pentru a obține libertate sau independență. Cuvântul românesc care descrie cel mai bine acest tip de acţiune este „revolta”, care are exact 7 litere."
,True,Tăiată la spital!,TA,TA,"În enigmă, cuvântul „tăiată” indică faptul că trebuie să extragem (a‑ta) o parte din cuvântul următor, „spital”. Din şirul S P I T A L, secvenţa de două litere „TA” este „tăiată”. „TA” este un cuvânt românesc (pronume posesiv, forma pentru feminin, singular, al persoanei a doua) și are exact 2 litere, respectând indiciul."
,False,Aproape de un nivel inacceptabil,lOAZA,LANGA,"Cuvântul „lângă” înseamnă „aproape de”, deci descrie perfect situaţia de a fi aproape de un nivel inacceptabil. Are exact 5 litere, respectând cerinţa de lungime."
,False,Grăsuliu la talie,SU,IN,"„Grăsuliu” poate fi exprimat prin cuvântul *plinuț* (cineva puţin gras). „La talie” indică poziţia mijlocului cuvântului (cintura = mijloc). Literele de la mijlocul cuvântului *plinuț* sunt „IN”. Astfel, răspunsul de două litere este „IN”."
,False,Executantul unor lovituri de pedeapsă,BIcI,MANA,"În expresia dată, executorul loviturilor (adică cel care aplică loviturile de pedeapsă) este, în mod obișnuit, mâna. Mâna este organul care lovește, așa că cuvântul ""MANA"" (fără diacritice) se potrivește cu definiția şi are exact 4 litere."
,False,Rezultat la adunare,UNIT,SUMA,"În matematică, rezultatul obținut prin adunarea a două sau mai multe numere se numește ""sumă"". Cuvântul ""SUMA"" are exact 4 litere, respectând indiciul de lungime."
,False,Bani cheltuiţi prin bazar,LIRE,COST,"În limba română cuvântul „cost” desemnează suma de bani cheltuită pentru a obţine ceva. Definiţia dată – „Bani cheltuiţi prin bazar” – se referă la totalul cheltuielilor efectuate la un târg sau magazin, adică la cost. „COST” are exact 4 litere, respectând indiciul privind lungimea răspunsului."
,False,Obligaţie de serviciu,oRDIN,norma,"În limba română expresia „normă de serviciu” desemnează o obligație sau un mandat pe care îl are cineva într-un loc de muncă. Deci, substantivul „normă”, care are exact 5 litere, este echivalentul cel mai apropiat pentru definiţia „obligație de serviciu”."
