rationale_score,match,clue,answer,prediction,rationale
,False,Şters din datoria personalului de serviciu,pRAF,EXONERAT,"În limba română, verbul „a șterge” poate avea sensul de a elimina sau a ridica o obligație. Expresia „din datoria personalului de serviciu” indică faptul că vorbim despre cineva care a fost scos dintr‑o sarcină de serviciu. Cuvântul care exprimă cel mai bine „eliminat din obligație” este „exonerat”, adică scutit sau scos dintr‑o datorie/îndatorire. De aceea, răspunsul cel mai probabil pentru acest enigmă este EXONERAT."
,False,Înlocuire la adăpostul întunericului,IaTAC,SCHIMBARE,"„Înlocuire” este sinonim cu „schimbare” în limba română. Deşi partea „la adăpostul întunericului” poate sugera o construcţie criptică, sensul principal al indiciului rămâne definiţia – un cuvânt ce exprimă ideea de a înlocui, de a substitui – iar cel mai comun și potrivit termen este SCHIMBARE."
,False,Mişcarea de eliberare,SMuCIRE,REVOLUȚIE,"Expresia „Mișcarea de eliberare” desemnează un proces colectiv prin care un popor sau un grup caută să se elibereze de o dominație sau o opresiune. Cel mai frecvent sinonim pentru o astfel de mișcare este „revoluție”, termen utilizat în limba română pentru a descrie o schimbare radicală și rapidă, adesea cu scopul de a obține libertatea și independența. Prin urmare, „REVOLUȚIE” este răspunsul cel mai potrivit."
,False,Tăiată la spital!,TA,OPERAȚIE,"În limbajul medicinal, ""tăiată"" se referă la o intervenție chirurgicală prin care se taie țesuturi. O astfel de intervenție are loc la spital, deci cea mai potrivită soluție este cuvântul OPERAȚIE, care înseamnă atât „actul de a tăia"" cât și „intervenție medicală la spital”."
,False,Aproape de un nivel inacceptabil,lOAZA,PRAGUL,"Expresia „la pragul” semnifică a fi foarte aproape de o limită, de un nivel care poate deveni inacceptabil. În sens figurat, „pragul” este marginea sau limita de la care un lucru poate trece de la acceptabil la inacceptabil, așa că este răspunsul cel mai potrivit pentru definiția dată."
,False,Grăsuliu la talie,SU,ROTUND,"Expresia „grăsuliu la talie” descrie o persoană cu o talie rotunjită, adică cu o formă mai plină, puțin grasă. Cuvântul „rotund” este adjectivul uzual pentru a indica această trăsătură fizică, deci reprezintă cea mai probabilă soluție pentru indiciul dat."
,False,Executantul unor lovituri de pedeapsă,BIcI,PENALTIST,"În expresia ""lovituri de pedeapsă"" se face referire la loviturile de la punctul de penal în fotbal. Persoana care execută aceste lovituri este, în limbajul sportiv, ""penaltist"" – jucătorul care pasează mingea în momentul unei lovituri de pedeapsă. Deci, răspunsul cel mai adecvat pentru ""executantul unor lovituri de pedeapsă"" este PENALTIST."
,False,Rezultat la adunare,UNIT,SUMA,"În matematică, rezultatul obținut atunci când se adună două sau mai multe numere se numește ""sumă"". Prin urmare, cuvântul ""SUMA"" este cel mai potrivit răspuns pentru definiția ""Rezultat la adunare""."
,False,Bani cheltuiţi prin bazar,LIRE,CHELTUIALĂ,"Definiţia""Bani cheltuiţi"" se referă la o ""cheltuială"", adică la suma de bani consumată pentru un anumit scop. Prin urmare, cuvântul ""CHELTUIALĂ"" este cea mai potrivită soluție pentru acest indiciu."
,False,Obligaţie de serviciu,oRDIN,SARCI NA,"„Obligație de serviciu” se referă la sarcina sau mandatul pe care îl are cineva în cadrul unei activităţi profesionale sau militare. În limba română, cuvântul care surprinde cel mai bine sensul de „obligație impusă de serviciu” este „sarcină”."
,True,Admiterea unui refuz,NU,NU,"În limba română, refuzul se exprimă prin cuvântul „nu”. Actul de a admite (de a declara) un refuz constă prin a spune acest cuvânt. Prin urmare, răspunsul cel mai adecvat pentru „Admiterea unui refuz” este NU."
,False,Juniori aflaţi în pregătire cu seniorii,PAjI,UCENICI,"În limba română, juniorii care se află în proces de învățare alături de seniori sunt numiţi „ucenici”. Un ucenic este o persoană tânără, aflată în pregătire, care lucrează sub îndrumarea unui maestru sau a unui lucrător mai experimentat. Prin urmare, cuvântul UCENICI este cel care se potriveşte cel mai bine descrierii ""Juniori aflaţi în pregătire cu seniori""."
,False,Mică la trup!,IC,MICUȚ,"Expresia „Mică la trup” descrie o persoană de dimensiuni reduse, adică „micuţă”. În română cuvântul potrivit pentru a desemna pe cineva mic la înălțime sau la constituție este „micuț”. De aceea este cel mai probabil răspunsul la acest indiciu."
,False,Fudulii de cocoşi (sg.),TANTOS,CRESTA,"În limba română, termenul regional „fudulie” se referă la creasta roșie de pe capul cocoșului. Expresia „fudulii de cocoși” indică pluralul acestor creste. Pentru a da forma de singular (sg.) cerută de enigmă, răspunsul este „creastă”."
