rationale_score,match,clue,answer,prediction,rationale
,False,Şters din datoria personalului de serviciu,pRAF,FIRE,"Expresia 'şters din datoria personalului de serviciu' sugerează o persoană care face treburi sau slujeşte nişte cărţi. În limba română, cuvântul 'fire' înseamnă o simplă desfăşurare, dezvoltare, progres, mai ales în ceea ce priveşte treburi, afaceri. Aceasta persoană este 'ştersă' adică apoi, detaşată, nevoită să-şi continue ruleta fără sprijin, deci cu propria sa putere. În plus, FIrE are 4 litere, corespunzând numărului de litere din hint."
,False,Înlocuire la adăpostul întunericului,IaTAC,PANSA,"Înlocuirea la adăpostul întunericului se poate referi la înlocuirea becului (pana) atunci când acesta s-a tot dus. Panza este panoul care protejează becul și reprezintă înlocuirea acestuia la adăpostul întunericului. În plus, cuvântul PANSA are exact 5 litere, în conformitate cu numărul indicat în hint."
,False,Mişcarea de eliberare,SMuCIRE,EMANCIPA,"Mișcarea de eliberare se referă la eforturile și demersurile menite să elibereze sau să despăgubească o persoană sau un grup de persoane de condylia lor sau situația de dependență. EMANCIPA (de la emancipare) înseamnă acțiunea prin care cineva ajunge să nu mai depindă sau să nu mai fie supus restricției ori controlui altcuiva, adică să se elibereze. Cuvântul EMANCIPA are exact 7 litere, corespunzător numărului de litere cerut în indiciu."
,False,Tăiată la spital!,TA,VN,"Expresia 'Tăiată la spital!' se referă la o afişare tipică în spitale care indică zona sau camera unde se desfăşoară operaţii chirurgicale. Iniţialele acestor cuvinte ar atrage 2 litere, ceea ce corespunde cu cerinţa pentru hint. 'VN' reprezintă iniţialele cuvintelor 'Video Nudity', care indică de obicei spaţii video în spitale, dar în acest context metaforic, 'VN' se potrivesc cu sensul cerinţei."
,False,Aproape de un nivel inacceptabil,lOAZA,LIMITE,"Clue-ul se referea la ceva aproape de un nivel inacceptabil. Cuvantul 'limită' inseamnă granița care nu ar trebui depășită, iar depășirea limitelor adesea duce la consecințe inacceptabile. De asemenea, 'limită' are exact 5 litere, deci este potrivit pentru numărul dat de litere."
,False,Grăsuliu la talie,SU,IS,"Cuvantul 'grăsuliu' se refera la ceva gros sau cu volum mare. La talie, cel mai simplu mod de a exprima adjectivul 'grăsuliu' este utilizand pronomul demonstrativ 'is', care inseamna 'acesta' sau 'cea'. Acest răspuns are de asemenea 2 litere, in conformitate cu hint-ul dat."
,False,Executantul unor lovituri de pedeapsă,BIcI,CARE,"În rugby, termenul pentru executantul loviturilor de pedeapsă (de exemplu, kickurile prin intermediul poartei) este CARE. CARE are 4 litere, astfel încât corespunde perfect cu hint-ul dat."
,False,Rezultat la adunare,UNIT,SUMA,"Rezultatul adunării a două sau mai multe numere se numește suma. Suma reprezintă valoarea obținută în urma operației de adunare a acestor numere. Cuvântul SUMA are exact 4 litere, îndeplinind astfel condiția de hint."
,False,Bani cheltuiţi prin bazar,LIRE,PIASĂ,"Înseamnă că banii au fost cheltuiți fără un scop specific sau într-un mod dezordonat, similar cu cum se cheltuie banii într-un bazăr. Cuvântul PIASĂ are 4 litere, ceea ce este în acord cu indiciul dat."
,False,Obligaţie de serviciu,oRDIN,DINAR,"Obligația de serviciu se referă la o datorie sau o responsabilitate contractuală sau legală. DINAR este o unitate monetară folosită în unele țări, și este obligația de a efectua plăți în acest format valutar în anumite situații. Astfel, DINAR este în acord cu înțelesul obligației de serviciu și are 5 litere, conform hintului dat."
